      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 7.62500E+00   4.37243E+20   3.20341E+09   6.52119E+01   1.05283E-04   7.32638E-12
 7.67500E+00   3.98771E+20   9.46881E+08   5.95222E+01   9.61379E-05   2.37450E-12
 7.72500E+00   3.62976E+20   4.43536E+07   5.42241E+01   8.76185E-05   1.22194E-13
 7.77500E+00   3.29739E+20   1.26631E+02   4.93007E+01   7.96982E-05   3.84035E-19
 7.82500E+00   2.98944E+20   1.20312E+02   4.47350E+01   7.23502E-05   4.02458E-19
 7.87500E+00   2.70472E+20   1.13271E+02   4.05101E+01   6.55476E-05   4.18792E-19
 7.92500E+00   2.44204E+20   1.06454E+02   3.66089E+01   5.92632E-05   4.35924E-19
 7.97500E+00   2.20025E+20   1.00082E+02   3.30145E+01   5.34702E-05   4.54866E-19
 8.02500E+00   1.97817E+20   9.39845E+01   2.97101E+01   4.81420E-05   4.75109E-19
 8.07500E+00   1.77466E+20   8.80774E+01   2.66792E+01   4.32523E-05   4.96306E-19
 8.12500E+00   1.58860E+20   8.23595E+01   2.39054E+01   3.87751E-05   5.18440E-19
 8.17500E+00   1.41890E+20   7.68577E+01   2.13728E+01   3.46852E-05   5.41672E-19
 8.22500E+00   1.26447E+20   7.15955E+01   1.90659E+01   3.09578E-05   5.66209E-19
 8.27500E+00   1.12429E+20   6.65847E+01   1.69696E+01   2.75687E-05   5.92240E-19
 8.32500E+00   9.97340E+19   6.18279E+01   1.50692E+01   2.44947E-05   6.19928E-19
 8.37500E+00   8.82665E+19   5.73215E+01   1.33507E+01   2.17133E-05   6.49414E-19
 8.42500E+00   7.79333E+19   5.30591E+01   1.18005E+01   1.92028E-05   6.80827E-19
 8.47500E+00   6.86456E+19   4.90331E+01   1.04055E+01   1.69425E-05   7.14292E-19
 8.52500E+00   6.03190E+19   4.52354E+01   9.15346E+00   1.49125E-05   7.49937E-19
 8.57500E+00   5.28732E+19   4.16582E+01   8.03257E+00   1.30941E-05   7.87889E-19
 8.62500E+00   4.62323E+19   3.82934E+01   7.03169E+00   1.14693E-05   8.28283E-19
 8.67500E+00   4.03249E+19   3.51335E+01   6.14030E+00   1.00214E-05   8.71260E-19
 8.72500E+00   3.50841E+19   3.21709E+01   5.34852E+00   8.73450E-06   9.16966E-19
 8.77500E+00   3.04469E+19   2.93982E+01   4.64709E+00   7.59371E-06   9.65556E-19
 8.82500E+00   2.63551E+19   2.68082E+01   4.02738E+00   6.58517E-06   1.01719E-18
 8.87500E+00   2.27543E+19   2.43937E+01   3.48135E+00   5.69596E-06   1.07205E-18
 8.92500E+00   1.95943E+19   2.21477E+01   3.00156E+00   4.91410E-06   1.13031E-18
 8.97500E+00   1.68288E+19   2.00628E+01   2.58113E+00   4.22852E-06   1.19217E-18
 9.02500E+00   1.44155E+19   1.81322E+01   2.21376E+00   3.62904E-06   1.25783E-18
 9.07500E+00   1.23153E+19   1.63487E+01   1.89364E+00   3.10631E-06   1.32751E-18
 9.12500E+00   1.04929E+19   1.47051E+01   1.61548E+00   2.65180E-06   1.40143E-18
 9.17500E+00   8.91597E+18   1.31943E+01   1.37448E+00   2.25771E-06   1.47985E-18
 9.22500E+00   7.55543E+18   1.18094E+01   1.16626E+00   1.91699E-06   1.56303E-18
 9.27500E+00   6.38497E+18   1.05431E+01   9.86885E-01   1.62327E-06   1.65123E-18
 9.32500E+00   5.38097E+18   9.38845E+00   8.32810E-01   1.37079E-06   1.74475E-18
 9.37500E+00   4.52229E+18   8.33861E+00   7.00851E-01   1.15439E-06   1.84389E-18
 9.42500E+00   3.79004E+18   7.38672E+00   5.88164E-01   9.69465E-07   1.94898E-18
 9.47500E+00   3.16746E+18   6.52613E+00   4.92220E-01   8.11897E-07   2.06037E-18
 9.52500E+00   2.63971E+18   5.75035E+00   4.10772E-01   6.78036E-07   2.17840E-18
 9.57500E+00   2.19366E+18   5.05306E+00   3.41835E-01   5.64654E-07   2.30348E-18
 9.62500E+00   1.81781E+18   4.42820E+00   2.83663E-01   4.68904E-07   2.43601E-18
 9.67500E+00   1.50206E+18   3.86993E+00   2.34722E-01   3.88286E-07   2.57641E-18
 9.72500E+00   1.23761E+18   3.37264E+00   1.93670E-01   3.20613E-07   2.72514E-18
 9.77500E+00   1.01678E+18   2.93105E+00   1.59341E-01   2.63978E-07   2.88268E-18
 9.82500E+00   8.32944E+17   2.54010E+00   1.30720E-01   2.16723E-07   3.04955E-18
 9.87500E+00   6.80373E+17   2.19507E+00   1.06930E-01   1.77416E-07   3.22627E-18
 9.92500E+00   5.54136E+17   1.89150E+00   8.72173E-02   1.44818E-07   3.41342E-18
 9.97500E+00   4.50008E+17   1.62525E+00   7.09321E-02   1.17867E-07   3.61160E-18
 1.00250E+01   3.64380E+17   1.39246E+00   5.75200E-02   9.56536E-08   3.82144E-18
 1.00750E+01   2.94183E+17   1.18957E+00   4.65078E-02   7.74004E-08   4.04363E-18
 1.01250E+01   2.36813E+17   1.01329E+00   3.74941E-02   6.24477E-08   4.27886E-18
 1.01750E+01   1.90072E+17   8.60624E-01   3.01388E-02   5.02363E-08   4.52789E-18
 1.02250E+01   1.52107E+17   7.28823E-01   2.41553E-02   4.02944E-08   4.79151E-18
 1.02750E+01   1.21367E+17   6.15399E-01   1.93029E-02   3.22252E-08   5.07057E-18
 1.03250E+01   9.65530E+16   5.18099E-01   1.53798E-02   2.56961E-08   5.36596E-18
 1.03750E+01   7.65854E+16   4.34899E-01   1.22179E-02   2.04296E-08   5.67861E-18
 1.04250E+01   6.05674E+16   3.63981E-01   9.67742E-03   1.61945E-08   6.00952E-18
 1.04750E+01   4.77577E+16   3.03727E-01   7.64251E-03   1.27995E-08   6.35975E-18
 1.05250E+01   3.75455E+16   2.52696E-01   6.01764E-03   1.00863E-08   6.73040E-18
 1.05750E+01   2.94294E+16   2.09615E-01   4.72421E-03   7.92478E-09   7.12265E-18
 1.06250E+01   2.29992E+16   1.73362E-01   3.69779E-03   6.20803E-09   7.53774E-18
 1.06750E+01   1.79206E+16   1.42953E-01   2.88581E-03   4.84879E-09   7.97700E-18
 1.07250E+01   1.39219E+16   1.17526E-01   2.24544E-03   3.77593E-09   8.44180E-18
 1.07750E+01   1.07834E+16   9.63346E-02   1.74200E-03   2.93175E-09   8.93363E-18
 1.08250E+01   8.32751E+15   7.87285E-02   1.34742E-03   2.26955E-09   9.45403E-18
 1.08750E+01   6.41184E+15   6.41482E-02   1.03912E-03   1.75171E-09   1.00046E-17
 1.09250E+01   4.92217E+15   5.21122E-02   7.98985E-04   1.34802E-09   1.05872E-17
 1.09750E+01   3.76737E+15   4.22081E-02   6.12521E-04   1.03429E-09   1.12036E-17
 1.10250E+01   2.87492E+15   3.40842E-02   4.68180E-04   7.91222E-10   1.18557E-17
 1.10750E+01   2.18737E+15   2.74418E-02   3.56791E-04   6.03483E-10   1.25456E-17
 1.11250E+01   1.65930E+15   2.20279E-02   2.71098E-04   4.58927E-10   1.32754E-17
 1.11750E+01   1.25498E+15   1.76293E-02   2.05375E-04   3.47963E-10   1.40475E-17
 1.12250E+01   9.46363E+14   1.40669E-02   1.55125E-04   2.63048E-10   1.48642E-17
 1.12750E+01   7.11523E+14   1.11909E-02   1.16822E-04   1.98267E-10   1.57281E-17
 1.13250E+01   5.33373E+14   8.87635E-03   8.77169E-05   1.48997E-10   1.66419E-17
 1.13750E+01   3.98643E+14   7.01950E-03   6.56678E-05   1.11640E-10   1.76085E-17
 1.14250E+01   2.97065E+14   5.53453E-03   4.90158E-05   8.34017E-11   1.86307E-17
 1.14750E+01   2.20716E+14   4.35071E-03   3.64782E-05   6.21221E-11   1.97118E-17
 1.15250E+01   1.63505E+14   3.40991E-03   2.70673E-05   4.61353E-11   2.08551E-17
 1.15750E+01   1.20767E+14   2.66459E-03   2.00250E-05   3.41616E-11   2.20639E-17
 1.16250E+01   8.89379E+13   2.07599E-03   1.47713E-05   2.52208E-11   2.33420E-17
 1.16750E+01   6.53058E+13   1.61259E-03   1.08637E-05   1.85652E-11   2.46929E-17
 1.17250E+01   4.78131E+13   1.24891E-03   7.96636E-06   1.36257E-11   2.61206E-17
 1.17750E+01   3.49044E+13   9.64369E-04   5.82450E-06   9.97096E-12   2.76288E-17
