      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 3.87500E+00   2.63985E+00  -5.40967E-05   2.74819E-11  -4.64721E-14  -2.04924E-05
 3.92500E+00   1.94900E+00  -3.86194E-05   1.98909E-11  -3.39461E-14  -1.98150E-05
 3.97500E+00   1.42214E+00  -2.72437E-05   1.42010E-11  -2.44340E-14  -1.91569E-05
 4.02500E+00   1.02546E+00  -1.89844E-05   1.00010E-11  -1.73318E-14  -1.85131E-05
 4.07500E+00   7.30587E-01  -1.30654E-05   6.94732E-12  -1.21162E-14  -1.78834E-05
 4.12500E+00   5.14186E-01  -8.87939E-06   4.76035E-12  -8.34791E-15  -1.72688E-05
 4.17500E+00   3.57411E-01  -5.95829E-06   3.21724E-12  -5.66864E-15  -1.66707E-05
 4.22500E+00   2.45302E-01  -3.94703E-06   2.14446E-12  -3.79364E-15  -1.60905E-05
 4.27500E+00   1.66187E-01  -2.58074E-06   1.40957E-12  -2.50195E-15  -1.55291E-05
 4.32500E+00   1.11100E-01  -1.66514E-06   9.13533E-13  -1.62591E-15  -1.49877E-05
 4.37500E+00   7.32647E-02  -1.05991E-06   5.83635E-13  -1.04097E-15  -1.44669E-05
 4.42500E+00   4.76392E-02  -6.65387E-07   3.67475E-13  -6.56469E-16  -1.39672E-05
 4.47500E+00   3.05301E-02  -4.11819E-07   2.27957E-13  -4.07666E-16  -1.34889E-05
 4.52500E+00   1.92739E-02  -2.51181E-07   1.39269E-13  -2.49209E-16  -1.30322E-05
 4.57500E+00   1.19798E-02  -1.50907E-07   8.37622E-14  -1.49905E-16  -1.25968E-05
 4.62500E+00   7.32645E-03  -8.92565E-08   4.95688E-14  -8.86856E-17  -1.21828E-05
 4.67500E+00   4.40557E-03  -5.19401E-08   2.88455E-14  -5.15731E-17  -1.17896E-05
 4.72500E+00   2.60278E-03  -2.97158E-08   1.64953E-14  -2.94602E-17  -1.14170E-05
 4.77500E+00   1.50945E-03  -1.67009E-08   9.26198E-15  -1.65177E-17  -1.10642E-05
 4.82500E+00   8.58454E-04  -9.21190E-09   5.10168E-15  -9.08181E-18  -1.07308E-05
 4.87500E+00   4.78249E-04  -4.98144E-09   2.75379E-15  -4.89156E-18  -1.04160E-05
 4.92500E+00   2.60668E-04  -2.63773E-09   1.45489E-15  -2.57782E-18  -1.01191E-05
 4.97500E+00   1.38807E-04  -1.36576E-09   7.51309E-16  -1.32737E-18  -9.83931E-06
 5.02500E+00   7.21002E-05  -6.90419E-10   3.78631E-16  -6.66780E-19  -9.57583E-06
 5.07500E+00   3.64670E-05  -3.40158E-10   1.85891E-16  -3.26179E-19  -9.32782E-06
 5.12500E+00   1.79245E-05  -1.63013E-10   8.87322E-17  -1.55076E-19  -9.09442E-06
