      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 5.17500E+00   8.32640E+16   1.51932E+09   1.05274E+02   2.40155E-02   4.10469E-08
 5.22500E+00   8.21725E+16   1.51894E+09   1.05851E+02   2.43253E-02   4.14043E-08
 5.27500E+00   8.18509E+16   1.51858E+09   1.07028E+02   2.46724E-02   4.16547E-08
 5.32500E+00   8.22818E+16   1.53542E+09   1.08772E+02   2.50502E-02   4.17931E-08
 5.37500E+00   8.34468E+16   1.60011E+09   1.11046E+02   2.54518E-02   4.18187E-08
 5.42500E+00   8.53267E+16   1.69494E+09   1.13805E+02   2.58702E-02   4.17356E-08
 5.47500E+00   8.79013E+16   1.80844E+09   1.17006E+02   2.62986E-02   4.15509E-08
 5.52500E+00   9.11493E+16   1.93456E+09   1.20601E+02   2.67306E-02   4.12750E-08
 5.57500E+00   9.50488E+16   2.07109E+09   1.24547E+02   2.71603E-02   4.09195E-08
 5.62500E+00   9.95764E+16   2.21830E+09   1.28799E+02   2.75823E-02   4.04973E-08
 5.67500E+00   1.04708E+17   2.37733E+09   1.33318E+02   2.79923E-02   4.00210E-08
 5.72500E+00   1.10418E+17   2.54931E+09   1.38064E+02   2.83866E-02   3.95027E-08
 5.77500E+00   1.16678E+17   2.73497E+09   1.43002E+02   2.87625E-02   3.89535E-08
 5.82500E+00   1.23462E+17   2.93467E+09   1.48100E+02   2.91183E-02   3.83836E-08
 5.87500E+00   1.30737E+17   3.14868E+09   1.53330E+02   2.94533E-02   3.78019E-08
 5.92500E+00   1.38473E+17   3.37752E+09   1.58666E+02   2.97677E-02   3.72159E-08
 5.97500E+00   1.46635E+17   3.62234E+09   1.64089E+02   3.00628E-02   3.66324E-08
 6.02500E+00   1.55187E+17   3.88492E+09   1.69581E+02   3.03407E-02   3.60572E-08
 6.07500E+00   1.64091E+17   4.16734E+09   1.75130E+02   3.06045E-02   3.54951E-08
 6.12500E+00   1.73308E+17   4.47107E+09   1.80724E+02   3.08572E-02   3.49500E-08
 6.17500E+00   1.82796E+17   4.79627E+09   1.86334E+02   3.10967E-02   3.44232E-08
 6.22500E+00   1.92510E+17   5.14297E+09   1.91929E+02   3.13214E-02   3.39155E-08
 6.27500E+00   2.02404E+17   5.51128E+09   1.97483E+02   3.15301E-02   3.34275E-08
 6.32500E+00   2.12432E+17   5.90123E+09   2.02970E+02   3.17220E-02   3.29596E-08
 6.37500E+00   2.22543E+17   6.31255E+09   2.08366E+02   3.18968E-02   3.25122E-08
 6.42500E+00   2.32686E+17   6.74448E+09   2.13648E+02   3.20545E-02   3.20854E-08
 6.47500E+00   2.42811E+17   7.19556E+09   2.18795E+02   3.21952E-02   3.16793E-08
 6.52500E+00   2.52864E+17   7.66367E+09   2.23786E+02   3.23192E-02   3.12939E-08
 6.57500E+00   2.62791E+17   8.14600E+09   2.28600E+02   3.24269E-02   3.09290E-08
 6.62500E+00   2.72540E+17   8.63924E+09   2.33221E+02   3.25188E-02   3.05846E-08
 6.67500E+00   2.82057E+17   9.13978E+09   2.37629E+02   3.25954E-02   3.02604E-08
 6.72500E+00   2.91290E+17   9.64395E+09   2.41808E+02   3.26571E-02   2.99561E-08
 6.77500E+00   3.00186E+17   1.01480E+10   2.45743E+02   3.27046E-02   2.96716E-08
 6.82500E+00   3.08696E+17   1.06481E+10   2.49417E+02   3.27382E-02   2.94065E-08
 6.87500E+00   3.16772E+17   1.11398E+10   2.52818E+02   3.27585E-02   2.91604E-08
 6.92500E+00   3.24368E+17   1.16179E+10   2.55932E+02   3.27659E-02   2.89332E-08
 6.97500E+00   3.31441E+17   1.20760E+10   2.58749E+02   3.27609E-02   2.87244E-08
 7.02500E+00   3.37950E+17   1.25062E+10   2.61257E+02   3.27438E-02   2.85339E-08
 7.07500E+00   3.43859E+17   1.28999E+10   2.63448E+02   3.27150E-02   2.83611E-08
 7.12500E+00   3.49137E+17   1.32479E+10   2.65314E+02   3.26749E-02   2.82060E-08
 7.17500E+00   3.53753E+17   1.35416E+10   2.66849E+02   3.26238E-02   2.80681E-08
 7.22500E+00   3.57685E+17   1.37743E+10   2.68048E+02   3.25621E-02   2.79472E-08
 7.27500E+00   3.60913E+17   1.39422E+10   2.68908E+02   3.24900E-02   2.78431E-08
 7.32500E+00   3.63421E+17   1.40460E+10   2.69426E+02   3.24079E-02   2.77555E-08
 7.37500E+00   3.65201E+17   1.40895E+10   2.69604E+02   3.23162E-02   2.76841E-08
 7.42500E+00   3.66248E+17   1.40976E+10   2.69441E+02   3.22150E-02   2.76288E-08
 7.47500E+00   3.66562E+17   1.41050E+10   2.68942E+02   3.21050E-02   2.75894E-08
 7.52500E+00   3.66149E+17   1.41026E+10   2.68111E+02   3.19863E-02   2.75658E-08
 7.57500E+00   3.65018E+17   1.40104E+10   2.66955E+02   3.18595E-02   2.75577E-08
 7.62500E+00   3.63184E+17   1.38360E+10   2.65481E+02   3.17249E-02   2.75651E-08
 7.67500E+00   3.60668E+17   1.35997E+10   2.63700E+02   3.15831E-02   2.75878E-08
 7.72500E+00   3.57493E+17   1.33149E+10   2.61622E+02   3.14347E-02   2.76258E-08
 7.77500E+00   3.53687E+17   1.29900E+10   2.59261E+02   3.12802E-02   2.76791E-08
 7.82500E+00   3.49283E+17   1.26304E+10   2.56631E+02   3.11203E-02   2.77475E-08
 7.87500E+00   3.44315E+17   1.22402E+10   2.53747E+02   3.09556E-02   2.78310E-08
 7.92500E+00   3.38822E+17   1.18223E+10   2.50627E+02   3.07868E-02   2.79297E-08
 7.97500E+00   3.32846E+17   1.13792E+10   2.47289E+02   3.06148E-02   2.80434E-08
 8.02500E+00   3.26431E+17   1.09136E+10   2.43753E+02   3.04404E-02   2.81722E-08
 8.07500E+00   3.19622E+17   1.04286E+10   2.40040E+02   3.02645E-02   2.83161E-08
 8.12500E+00   3.12467E+17   9.92756E+09   2.36171E+02   3.00879E-02   2.84750E-08
 8.17500E+00   3.05015E+17   9.41427E+09   2.32168E+02   2.99117E-02   2.86489E-08
 8.22500E+00   2.97316E+17   8.89270E+09   2.28056E+02   2.97368E-02   2.88377E-08
 8.27500E+00   2.89419E+17   8.36690E+09   2.23858E+02   2.95642E-02   2.90412E-08
 8.32500E+00   2.81374E+17   7.84094E+09   2.19598E+02   2.93949E-02   2.92593E-08
 8.37500E+00   2.73232E+17   7.31881E+09   2.15301E+02   2.92299E-02   2.94917E-08
 8.42500E+00   2.65042E+17   6.80435E+09   2.10991E+02   2.90703E-02   2.97381E-08
 8.47500E+00   2.56852E+17   6.30127E+09   2.06693E+02   2.89171E-02   2.99980E-08
 8.52500E+00   2.48710E+17   5.81306E+09   2.02433E+02   2.87712E-02   3.02708E-08
 8.57500E+00   2.40660E+17   5.34296E+09   1.98233E+02   2.86336E-02   3.05557E-08
 8.62500E+00   2.32748E+17   4.89392E+09   1.94117E+02   2.85053E-02   3.08519E-08
 8.67500E+00   2.25013E+17   4.46857E+09   1.90109E+02   2.83869E-02   3.11581E-08
 8.72500E+00   2.17498E+17   4.06916E+09   1.86230E+02   2.82795E-02   3.14732E-08
 8.77500E+00   2.10238E+17   3.69758E+09   1.82502E+02   2.81836E-02   3.17954E-08
 8.82500E+00   2.03268E+17   3.35538E+09   1.78944E+02   2.81000E-02   3.21228E-08
 8.87500E+00   1.96622E+17   3.04373E+09   1.75576E+02   2.80291E-02   3.24535E-08
 8.92500E+00   1.90327E+17   2.76350E+09   1.72415E+02   2.79716E-02   3.27849E-08
 8.97500E+00   1.84413E+17   2.51530E+09   1.69477E+02   2.79276E-02   3.31143E-08
 9.02500E+00   1.78901E+17   2.29948E+09   1.66776E+02   2.78976E-02   3.34389E-08
 9.07500E+00   1.73814E+17   2.11610E+09   1.64325E+02   2.78816E-02   3.37556E-08
 9.12500E+00   1.69170E+17   1.96487E+09   1.62134E+02   2.78797E-02   3.40609E-08
 9.17500E+00   1.64985E+17   1.84513E+09   1.60214E+02   2.78918E-02   3.43515E-08
